task_type,title,duration_minutes,urgency,deadline_urgency,importance_to_goals,depends_on_you,stress_level,motivation_level,enjoyment_level,task_blocking_others,priority
Health,Meditate,9,2,Tomorrow,4,1,4,2,4,0,Low
Study,Submit assignment,53,1,Today,1,1,5,4,3,1,Low
Work,Attend meeting,105,3,Next Week,3,0,1,1,1,0,Low
Work,Send report,168,1,Today,4,0,5,1,1,1,Low
Health,Meditate,140,5,Overdue,3,0,3,5,2,0,Medium
Work,Fix bug,5,2,This Week,2,0,4,2,1,1,Low
Health,Take vitamins,126,5,Next Week,5,1,4,4,3,0,Medium
Study,Watch lecture,11,2,Overdue,2,0,4,2,5,1,Low
Health,Meditate,166,4,Tomorrow,2,0,5,5,2,1,Low
Errand,Buy groceries,133,2,Next Week,3,0,4,3,3,1,Low
Work,Attend meeting,8,5,Next Week,5,0,5,5,4,1,Medium
Personal,Clean room,122,4,No Deadline,5,1,5,1,3,0,Medium
Work,Fix bug,178,4,This Week,4,0,1,4,5,1,Medium
Errand,Book tickets,139,4,Tomorrow,5,1,1,3,2,0,Medium
Health,Sleep early,62,5,Next Week,1,1,2,4,1,0,Medium
Errand,Car service,50,4,Tomorrow,5,1,4,2,4,0,Medium
Health,Take vitamins,122,3,No Deadline,4,1,1,2,1,1,Low
Personal,Plan trip,131,4,Next Week,1,0,1,1,2,0,Low
Health,Go to gym,57,5,This Week,5,1,4,5,3,1,Medium
Health,Meditate,113,4,No Deadline,1,1,3,4,4,1,Low
Study,Revise notes,47,4,Tomorrow,4,1,4,5,3,0,Medium
Study,Watch lecture,58,1,Overdue,2,1,5,2,1,1,Low
Errand,Pick up parcel,163,3,No Deadline,1,0,3,3,2,0,Low
Errand,Pick up parcel,66,5,Next Week,4,0,2,5,4,1,Medium
Health,Sleep early,129,4,Today,2,1,2,1,5,1,Medium
Study,Revise notes,180,3,Tomorrow,4,1,2,5,3,0,Low
Errand,Book tickets,149,3,Overdue,3,0,3,5,3,0,Low
Personal,Call mom,116,4,Tomorrow,5,1,4,5,5,0,Medium
Study,Revise notes,87,5,Overdue,2,0,4,3,4,0,Medium
Health,Go to gym,168,3,Overdue,2,1,2,1,3,1,Medium
Health,Meditate,145,5,Next Week,3,1,5,5,1,0,Medium
Health,Cook healthy meal,167,2,Next Week,2,0,1,3,4,0,Low
Personal,Plan trip,121,4,Tomorrow,4,1,1,1,3,1,Medium
Work,Review code,92,2,Tomorrow,2,0,5,2,5,0,Low
Work,Review code,54,3,Overdue,3,1,3,4,4,1,Medium
Work,Review code,11,1,No Deadline,2,0,4,1,4,0,Low
Personal,Call mom,150,2,This Week,1,1,3,1,4,0,Low
Personal,Plan trip,133,3,Tomorrow,4,1,4,1,5,0,Medium
Health,Sleep early,41,2,Today,1,1,1,2,4,0,Low
Study,Read chapter,134,3,This Week,2,0,4,4,1,0,Low
Work,Write proposal,57,1,Tomorrow,4,0,2,3,5,0,Low
Health,Sleep early,139,3,Overdue,5,1,3,5,4,1,Medium
Work,Fix bug,84,3,Tomorrow,1,1,4,2,5,1,Low
Errand,Car service,26,4,Next Week,5,0,5,5,2,0,Medium
Work,Send report,142,2,No Deadline,3,1,4,2,4,1,Low
Study,Submit assignment,9,3,Overdue,4,1,2,1,2,1,Medium
Work,Review code,169,4,Tomorrow,5,1,1,4,2,0,Medium
Work,Write proposal,116,4,Overdue,2,0,1,4,1,0,Medium
Personal,Clean room,47,4,Next Week,2,0,1,1,1,1,Medium
Errand,Buy groceries,144,3,Next Week,5,1,2,1,4,0,Medium
Health,Meditate,131,3,Today,4,0,5,4,1,0,Low
Health,Go to gym,104,3,Overdue,5,0,1,1,1,0,Medium
Study,Revise notes,114,4,No Deadline,1,0,1,4,2,1,Low
Health,Take vitamins,17,3,No Deadline,4,1,2,2,2,0,Low
Study,Practice math,107,2,Today,5,0,1,1,3,1,Medium
Health,Cook healthy meal,122,3,Today,4,0,5,2,5,1,Medium
Work,Review code,127,4,No Deadline,5,1,5,3,1,0,Medium
Health,Take vitamins,160,1,Next Week,1,1,5,3,3,0,Low
Work,Send report,26,3,Next Week,2,0,1,3,4,1,Low
Work,Fix bug,151,4,This Week,1,0,5,1,3,1,Low
Health,Sleep early,99,2,Tomorrow,5,0,1,1,5,0,Medium
Work,Send report,63,1,Overdue,2,1,1,2,3,1,Low
Personal,Pay bills,82,4,Tomorrow,5,1,3,5,2,1,Medium
Study,Read chapter,164,2,Tomorrow,1,1,2,4,1,0,Low
Errand,Car service,92,3,Overdue,1,1,2,1,2,0,Medium
Work,Write proposal,14,2,Today,3,1,3,1,3,0,Low
Work,Write proposal,38,2,Today,2,0,3,2,1,1,Low
Errand,Car service,35,3,Next Week,3,0,5,1,3,1,Medium
Personal,Call mom,125,5,Tomorrow,2,0,4,1,2,1,Medium
Work,Attend meeting,178,3,No Deadline,3,0,3,4,3,0,Low
Study,Submit assignment,28,3,Tomorrow,5,1,2,4,4,1,Medium
Health,Go to gym,176,5,No Deadline,5,1,3,1,4,1,Medium
Errand,Book tickets,119,1,Overdue,5,0,4,4,5,1,Low
Work,Fix bug,112,1,Tomorrow,2,0,4,4,3,1,Low
Errand,Book tickets,17,2,Next Week,2,0,1,2,5,1,Low
Health,Cook healthy meal,37,2,Today,2,0,3,4,5,0,Low
Work,Fix bug,44,4,Today,1,0,1,2,3,1,Low
Study,Watch lecture,17,3,Today,3,1,1,4,5,1,Low
Errand,Visit bank,80,1,This Week,5,0,4,2,4,0,Low
Errand,Pick up parcel,36,5,Overdue,5,1,2,3,4,0,High
Work,Fix bug,126,1,Today,3,1,5,4,4,1,Low
Health,Sleep early,91,5,Today,5,0,3,2,1,1,High
Personal,Clean room,75,1,Today,5,1,2,4,3,1,Low
Errand,Visit bank,18,3,Tomorrow,3,0,4,5,1,1,Low
Study,Practice math,102,5,Next Week,3,0,5,1,4,1,Medium
Personal,Call mom,75,2,Overdue,2,0,4,2,1,0,Low
Work,Fix bug,115,4,Tomorrow,2,1,1,4,1,0,Low
Health,Sleep early,94,5,No Deadline,5,1,1,1,2,1,Medium
Errand,Visit bank,175,5,Overdue,5,0,2,2,3,1,High
Study,Revise notes,139,3,This Week,3,0,4,1,2,0,Low
Health,Sleep early,73,5,No Deadline,1,1,2,2,2,1,Low
Errand,Visit bank,111,5,This Week,4,0,5,2,5,1,Medium
Study,Submit assignment,107,5,No Deadline,1,0,1,3,5,1,Low
Errand,Pick up parcel,137,2,Next Week,5,0,5,5,5,0,Low
Study,Submit assignment,51,2,Tomorrow,2,0,4,4,4,1,Low
Errand,Car service,137,4,Tomorrow,5,1,3,1,3,1,Medium
Personal,Call mom,103,4,This Week,5,1,5,4,5,1,Medium
Study,Read chapter,95,4,Next Week,3,0,2,1,2,0,Medium
Study,Read chapter,47,5,Next Week,5,1,1,2,2,0,Medium
Personal,Pay bills,11,2,No Deadline,5,1,4,4,1,1,Low
Work,Write proposal,142,1,No Deadline,2,0,1,4,5,0,Low
Personal,Call mom,118,1,Next Week,2,1,5,4,1,1,Low
Personal,Plan trip,137,4,Next Week,2,1,5,2,4,0,Medium
Work,Send report,34,3,Today,2,0,1,5,3,1,Low
Health,Sleep early,152,1,Tomorrow,1,1,2,3,3,1,Low
Work,Send report,159,5,Overdue,1,1,2,5,4,0,Medium
Health,Cook healthy meal,82,5,Today,2,1,2,3,5,0,Medium
Errand,Pick up parcel,136,3,Today,3,0,3,5,3,0,Low
Errand,Visit bank,138,3,Today,1,0,3,3,3,0,Low
Errand,Visit bank,121,3,Next Week,2,1,2,2,3,0,Low
Errand,Visit bank,23,4,Next Week,5,1,2,4,5,0,Medium
Study,Read chapter,114,3,Overdue,3,1,3,1,3,1,Medium
Personal,Pay bills,18,2,Overdue,2,1,1,1,1,1,Medium
Health,Take vitamins,72,4,No Deadline,5,1,2,3,2,1,Medium
Study,Watch lecture,17,5,This Week,4,0,4,4,2,0,Medium
Errand,Buy groceries,49,4,Overdue,4,0,3,3,4,1,Medium
Health,Meditate,151,1,No Deadline,5,0,2,4,3,1,Low
Personal,Pay bills,144,2,This Week,2,1,4,2,2,1,Low
Study,Read chapter,43,2,No Deadline,5,1,3,5,2,0,Low
Personal,Organize photos,96,2,Today,2,0,4,2,5,1,Low
Health,Go to gym,67,1,Overdue,4,0,5,4,2,0,Low
Health,Meditate,70,1,No Deadline,3,1,4,5,3,0,Low
Work,Attend meeting,103,4,Overdue,5,0,2,5,4,1,Medium
Work,Write proposal,112,2,No Deadline,4,1,5,2,5,1,Low
Study,Read chapter,151,4,This Week,5,1,2,4,2,1,Medium
Study,Revise notes,112,1,This Week,4,1,2,4,3,1,Low
Study,Revise notes,39,4,Tomorrow,5,1,4,3,4,1,Medium
Study,Practice math,86,2,No Deadline,5,1,5,1,4,0,Low
Study,Revise notes,167,3,Next Week,4,1,3,1,4,1,Medium
Work,Attend meeting,168,3,Next Week,3,0,3,3,5,1,Low
Work,Write proposal,20,1,Tomorrow,3,0,3,5,4,1,Low
Errand,Car service,50,2,No Deadline,4,1,2,4,2,0,Low
Work,Fix bug,121,3,This Week,4,1,2,3,5,1,Medium
Study,Revise notes,159,5,Overdue,1,0,2,1,3,0,Medium
Errand,Pick up parcel,105,5,Overdue,3,0,1,5,5,1,Medium
Errand,Buy groceries,48,3,No Deadline,5,1,1,5,1,0,Low
Health,Take vitamins,126,5,This Week,4,0,2,1,4,1,Medium
Study,Revise notes,54,4,No Deadline,3,0,4,4,4,0,Low
Study,Read chapter,72,5,This Week,1,0,5,5,5,0,Low
Personal,Clean room,31,5,Today,2,1,1,5,4,1,Medium
Work,Attend meeting,52,1,Today,1,0,5,3,2,0,Low
Errand,Book tickets,87,5,This Week,1,1,1,5,2,0,Low
Study,Revise notes,169,5,Tomorrow,2,0,2,4,5,0,Medium
Study,Practice math,119,3,No Deadline,5,0,1,4,3,1,Low
Personal,Organize photos,153,5,No Deadline,4,1,4,3,1,1,Medium
Errand,Visit bank,149,5,Tomorrow,4,1,3,4,4,1,Medium
Errand,Pick up parcel,89,3,Overdue,1,0,5,5,4,1,Low
Errand,Car service,97,5,No Deadline,4,1,4,2,3,1,Medium
Work,Fix bug,88,3,Next Week,5,1,5,2,5,1,Medium
Study,Revise notes,71,4,No Deadline,4,0,1,5,1,1,Low
Study,Read chapter,145,4,This Week,3,0,4,5,1,1,Medium
Work,Write proposal,85,1,This Week,5,1,2,2,3,1,Low
Work,Send report,36,2,Overdue,4,0,4,2,3,0,Medium
Study,Submit assignment,165,2,No Deadline,3,1,1,5,2,0,Low
Work,Review code,5,5,Overdue,2,1,5,3,1,1,Medium
Errand,Pick up parcel,115,3,This Week,2,0,2,3,3,0,Low
Study,Revise notes,92,5,Overdue,4,0,2,1,4,1,High
Errand,Pick up parcel,16,3,Next Week,5,0,5,1,5,0,Medium
Study,Watch lecture,69,5,This Week,1,0,5,5,4,1,Low
Work,Fix bug,11,2,Next Week,5,1,4,1,1,1,Medium
Study,Revise notes,18,1,Today,2,0,4,4,3,1,Low
Work,Send report,103,1,Next Week,4,1,2,1,1,0,Low
Health,Sleep early,124,3,No Deadline,5,1,3,3,2,0,Low
Health,Take vitamins,99,3,Next Week,3,1,3,5,5,1,Low
Personal,Call mom,123,1,Today,4,1,5,1,3,0,Low
Personal,Call mom,57,5,No Deadline,3,0,1,3,4,1,Low
Health,Cook healthy meal,9,2,This Week,1,0,4,4,1,0,Low
Study,Read chapter,95,4,Next Week,5,0,1,2,1,0,Medium
Work,Write proposal,148,5,This Week,5,1,5,2,3,0,Medium
Errand,Visit bank,27,1,Overdue,5,0,4,1,4,0,Medium
Work,Write proposal,50,4,Next Week,1,1,3,3,3,0,Low
Health,Meditate,129,5,This Week,4,0,5,4,4,0,Medium
Study,Watch lecture,61,4,No Deadline,4,1,3,4,5,1,Low
Personal,Organize photos,79,2,Overdue,1,1,1,4,4,1,Low
Work,Attend meeting,39,3,Today,2,0,5,1,4,0,Low
Errand,Buy groceries,41,3,Tomorrow,4,0,3,3,1,1,Medium
Study,Read chapter,142,5,No Deadline,5,0,3,5,3,0,Low
Study,Watch lecture,137,5,Tomorrow,1,0,5,2,5,1,Medium
Work,Send report,75,4,Next Week,1,1,3,3,2,0,Low
Work,Send report,102,1,Overdue,3,0,1,1,2,1,Low
Study,Revise notes,128,5,Today,5,0,4,3,1,0,Medium
Study,Practice math,60,3,Next Week,5,1,4,4,1,0,Medium
Work,Attend meeting,135,3,This Week,1,1,2,5,4,0,Low
Errand,Buy groceries,44,2,No Deadline,1,1,1,5,3,1,Low
Work,Write proposal,138,5,Next Week,3,1,2,3,4,0,Medium
Personal,Call mom,68,2,Next Week,1,1,5,3,5,0,Low
Work,Attend meeting,103,3,Next Week,3,0,5,4,5,0,Low
Errand,Buy groceries,134,3,Next Week,4,1,3,3,3,0,Medium
Study,Practice math,54,2,Tomorrow,3,0,3,2,5,0,Low
Errand,Buy groceries,175,5,Today,5,1,3,3,4,1,High
Work,Write proposal,123,1,Next Week,1,0,2,4,3,0,Low
Health,Take vitamins,161,1,No Deadline,1,0,1,1,4,1,Low
Study,Submit assignment,89,4,Overdue,1,1,3,5,4,0,Medium
Errand,Pick up parcel,9,3,Tomorrow,5,0,5,4,2,1,Medium
Health,Sleep early,95,4,Next Week,1,1,3,2,3,0,Low
Study,Watch lecture,58,3,Today,4,1,2,3,5,0,Medium
Errand,Book tickets,141,5,Today,5,1,5,1,4,0,High
Health,Take vitamins,153,5,Tomorrow,2,1,3,1,4,0,Medium
Work,Send report,132,4,Overdue,4,0,3,3,1,0,Medium
Work,Fix bug,180,2,Next Week,1,0,3,5,3,0,Low
Health,Cook healthy meal,88,2,Tomorrow,5,1,4,4,4,1,Medium
Work,Fix bug,70,2,Next Week,2,1,1,2,5,1,Low
Work,Attend meeting,73,2,Tomorrow,1,0,5,1,5,0,Low
Errand,Book tickets,24,1,Next Week,4,1,2,3,4,1,Low
Study,Practice math,117,3,Tomorrow,4,1,2,4,4,1,Medium
Study,Practice math,82,5,This Week,4,1,1,3,2,1,Medium
Work,Send report,175,2,No Deadline,5,0,1,1,2,0,Low
Personal,Pay bills,94,4,Next Week,2,1,3,5,1,0,Low
Errand,Buy groceries,54,1,Tomorrow,3,1,5,5,4,1,Low
Health,Cook healthy meal,46,5,Overdue,4,0,4,3,2,1,High
Health,Go to gym,115,1,Tomorrow,1,1,3,3,2,1,Low
Errand,Visit bank,83,3,This Week,4,0,4,2,3,0,Medium
Health,Sleep early,62,2,This Week,3,1,2,3,5,0,Low
Personal,Organize photos,105,1,No Deadline,4,1,4,3,1,0,Low
Personal,Call mom,159,3,Tomorrow,5,1,5,1,3,0,Medium
Errand,Car service,149,1,No Deadline,1,1,1,1,3,0,Low
Personal,Clean room,50,4,Next Week,5,0,1,2,3,0,Medium
Study,Read chapter,126,3,Today,2,0,1,5,3,0,Low
Study,Read chapter,79,2,This Week,2,0,4,2,4,0,Low
Study,Read chapter,89,1,Overdue,1,0,5,4,2,0,Low
Health,Go to gym,161,2,Tomorrow,1,1,3,1,2,0,Low
Errand,Pick up parcel,166,1,This Week,1,1,3,5,5,0,Low
Personal,Plan trip,42,3,Tomorrow,3,1,2,4,4,0,Low
Personal,Clean room,23,2,Today,5,1,4,4,2,1,Medium
Health,Sleep early,99,1,Next Week,1,1,4,5,5,1,Low
Study,Practice math,57,4,Tomorrow,3,1,2,1,2,0,Medium
Personal,Call mom,66,4,No Deadline,2,0,3,5,4,0,Low
Errand,Car service,132,4,No Deadline,4,1,5,1,1,0,Low
Personal,Organize photos,82,5,Next Week,2,0,1,2,4,1,Medium
Study,Revise notes,114,3,Tomorrow,1,0,2,5,2,0,Low
Health,Cook healthy meal,9,1,Next Week,4,1,2,1,4,0,Low
Errand,Pick up parcel,75,2,Today,5,0,1,2,5,0,Low
Personal,Organize photos,23,4,Tomorrow,4,0,4,1,1,1,Medium
Personal,Call mom,11,2,This Week,5,1,2,5,4,1,Low
Health,Cook healthy meal,41,4,No Deadline,2,1,3,3,3,1,Low
Errand,Book tickets,7,4,Tomorrow,4,0,4,2,3,0,Medium
Personal,Plan trip,12,3,Overdue,1,0,1,3,3,0,Low
Study,Practice math,133,5,This Week,4,1,1,3,5,0,Medium
Study,Submit assignment,39,3,No Deadline,2,1,3,1,3,1,Low
Errand,Book tickets,169,2,Next Week,2,0,1,4,1,1,Low
Personal,Pay bills,25,4,This Week,3,1,1,1,1,0,Medium
Work,Fix bug,76,1,Tomorrow,1,1,5,1,1,0,Low
Health,Sleep early,77,4,Today,1,0,2,5,1,1,Low
Errand,Pick up parcel,102,3,No Deadline,4,1,4,5,3,1,Low
Personal,Plan trip,27,4,Next Week,2,1,3,1,4,1,Medium
Study,Submit assignment,124,2,Overdue,3,1,5,5,1,1,Low
Study,Read chapter,122,2,No Deadline,4,0,2,1,2,0,Low
Work,Write proposal,137,2,Tomorrow,2,0,3,2,1,1,Low
Work,Review code,72,5,Tomorrow,4,1,3,2,3,1,Medium
Work,Send report,127,2,This Week,5,0,4,1,3,1,Medium
Study,Watch lecture,106,3,Today,2,1,1,4,5,0,Low
Work,Fix bug,120,1,Tomorrow,4,1,1,3,5,1,Low
Health,Take vitamins,142,4,Next Week,2,1,2,1,2,1,Medium
Health,Take vitamins,135,3,Next Week,2,1,1,4,2,0,Low
Personal,Call mom,146,3,Tomorrow,4,1,1,1,1,0,Medium
Study,Watch lecture,22,2,No Deadline,1,1,1,1,2,0,Low
Work,Write proposal,16,5,Today,3,0,3,2,3,1,Medium
Errand,Buy groceries,103,5,Today,5,0,1,1,5,0,Medium
Work,Write proposal,87,3,Tomorrow,5,0,4,4,1,1,Medium
Study,Submit assignment,101,3,Tomorrow,3,1,5,4,3,1,Low
Personal,Clean room,117,4,Tomorrow,3,0,2,1,4,1,Medium
Errand,Book tickets,43,4,Overdue,2,1,1,4,5,0,Medium
Study,Read chapter,108,3,This Week,4,1,5,5,2,1,Low
Personal,Clean room,86,3,Tomorrow,5,0,1,2,2,1,Medium
Personal,Clean room,122,4,Next Week,3,1,1,1,5,1,Medium
Errand,Car service,159,1,Next Week,1,0,1,5,1,0,Low
Health,Go to gym,122,2,This Week,5,1,2,4,2,1,Medium
Study,Submit assignment,152,4,Tomorrow,2,0,5,5,3,0,Low
Health,Cook healthy meal,93,2,Today,4,0,3,4,4,1,Low
Personal,Clean room,104,5,No Deadline,5,0,4,4,2,0,Medium
Personal,Clean room,146,1,Next Week,2,1,5,1,4,0,Low
Study,Practice math,53,1,Tomorrow,2,1,2,1,5,0,Low
Errand,Buy groceries,52,5,Tomorrow,5,0,3,4,4,0,Medium
Personal,Plan trip,25,1,No Deadline,4,0,1,2,2,0,Low
Study,Practice math,45,5,Next Week,4,1,1,1,5,1,High
Health,Sleep early,92,4,Today,1,1,2,4,2,1,Low
Study,Watch lecture,75,5,Overdue,2,1,1,5,1,1,Medium
Work,Attend meeting,141,3,This Week,4,0,5,3,3,0,Low
Study,Submit assignment,120,1,No Deadline,3,0,5,3,5,1,Low
Work,Send report,86,1,Tomorrow,4,0,1,4,1,1,Low
Personal,Plan trip,38,1,No Deadline,3,0,1,3,4,0,Low
Study,Revise notes,122,4,Today,2,1,2,2,2,0,Medium
Personal,Call mom,144,5,Today,5,0,3,3,2,0,Medium
Study,Watch lecture,119,3,This Week,5,1,1,3,4,1,Medium
Errand,Car service,166,1,Today,3,0,1,4,5,0,Low
Study,Submit assignment,30,4,Today,1,1,5,3,3,1,Low
Study,Watch lecture,70,3,Tomorrow,1,1,5,2,1,0,Low
Work,Attend meeting,132,3,This Week,4,1,4,4,5,0,Low
Health,Cook healthy meal,94,1,Tomorrow,4,0,4,5,3,0,Low
Work,Fix bug,82,2,Today,4,0,3,3,4,0,Low
Errand,Car service,59,4,Next Week,4,0,3,2,5,0,Medium
Study,Submit assignment,67,3,No Deadline,1,0,2,5,2,1,Low
Study,Revise notes,56,3,Today,2,0,1,3,3,0,Low
Personal,Call mom,153,5,Today,5,0,4,2,1,1,High
Errand,Book tickets,41,2,Next Week,1,0,3,3,3,1,Low
Work,Attend meeting,68,3,This Week,3,0,5,1,2,0,Low
Work,Review code,176,1,This Week,1,1,4,1,4,1,Low
Health,Cook healthy meal,16,4,Overdue,2,1,5,5,4,1,Medium
Study,Submit assignment,71,5,Today,4,1,1,5,3,0,Medium
Work,Review code,127,5,This Week,4,0,2,5,1,1,Medium
Work,Review code,140,2,Today,5,0,4,5,1,1,Low
Study,Revise notes,11,3,No Deadline,2,0,1,4,1,0,Low
Personal,Clean room,110,2,No Deadline,4,1,5,4,4,1,Low
Errand,Book tickets,151,3,Today,1,0,1,5,4,0,Low
Personal,Organize photos,81,2,Overdue,1,1,4,5,3,0,Low
Study,Practice math,139,2,Today,2,0,5,2,4,0,Low
Work,Review code,127,2,Next Week,5,0,2,2,2,0,Low
Personal,Organize photos,83,4,Overdue,2,1,2,5,2,0,Medium
Errand,Pick up parcel,159,2,Next Week,2,0,4,3,4,1,Low
Personal,Call mom,38,4,No Deadline,1,0,4,4,5,1,Low
Health,Cook healthy meal,52,4,No Deadline,2,0,1,4,5,0,Low
Health,Cook healthy meal,117,4,Tomorrow,4,1,3,4,1,0,Medium
Personal,Clean room,83,4,Overdue,2,1,1,4,2,1,Medium
Errand,Book tickets,119,2,No Deadline,2,1,4,5,1,1,Low
Study,Submit assignment,110,2,Next Week,2,1,3,2,1,1,Low
Health,Go to gym,166,1,This Week,2,0,4,1,4,1,Low
Study,Practice math,160,5,Today,1,0,5,3,1,1,Medium
Errand,Pick up parcel,166,2,Tomorrow,4,0,4,4,5,1,Low
Personal,Clean room,11,1,Today,3,1,2,4,2,0,Low
Study,Read chapter,115,1,This Week,3,1,3,1,5,0,Low
Work,Review code,84,3,Next Week,3,0,4,4,5,0,Low
Health,Take vitamins,82,1,Overdue,5,0,3,1,4,0,Medium
Study,Submit assignment,162,5,No Deadline,3,1,3,5,5,0,Low
Health,Go to gym,98,2,Next Week,1,1,3,3,5,0,Low
Work,Write proposal,143,2,Overdue,5,1,4,3,3,1,Medium
Work,Attend meeting,54,3,This Week,3,1,1,5,2,0,Low
Work,Send report,150,5,This Week,3,0,5,3,5,0,Medium
Work,Attend meeting,119,2,Next Week,2,0,5,3,5,0,Low
Health,Meditate,55,2,No Deadline,1,0,4,2,4,0,Low
Work,Review code,95,2,Tomorrow,2,1,5,5,5,0,Low
Errand,Car service,172,4,No Deadline,1,1,1,5,4,0,Low
Errand,Car service,75,5,This Week,2,1,2,4,5,0,Medium
Study,Revise notes,138,3,This Week,1,1,1,2,2,1,Low
Work,Review code,85,5,Today,5,1,2,2,5,1,High
Errand,Visit bank,127,1,Next Week,3,1,2,3,4,1,Low
Health,Meditate,49,5,Next Week,3,1,5,4,3,1,Medium
Errand,Car service,49,4,Today,2,0,2,1,1,1,Medium
Errand,Book tickets,94,1,Overdue,4,1,5,4,3,0,Low
Health,Cook healthy meal,11,3,Overdue,2,0,4,4,4,0,Low
Errand,Buy groceries,117,1,Today,4,1,5,2,4,0,Low
Work,Send report,53,3,No Deadline,5,1,3,5,1,0,Low
Study,Submit assignment,21,5,Overdue,5,0,5,5,2,0,Medium
Errand,Car service,148,3,Next Week,4,0,4,1,2,0,Medium
Errand,Visit bank,114,1,This Week,4,0,3,1,4,1,Low
Errand,Buy groceries,81,2,This Week,1,1,5,2,2,1,Low
Personal,Clean room,131,5,No Deadline,4,1,2,1,1,1,Medium
Study,Submit assignment,32,4,Next Week,2,0,4,3,2,1,Medium
Health,Take vitamins,105,4,No Deadline,5,0,2,4,1,0,Low
Personal,Call mom,153,3,Today,1,1,1,1,3,1,Low
Study,Watch lecture,34,5,This Week,3,0,3,4,2,0,Medium
Personal,Call mom,80,5,No Deadline,2,1,1,4,5,0,Low
Work,Send report,162,5,Next Week,3,1,3,5,3,0,Medium
Personal,Plan trip,82,4,This Week,4,1,3,4,5,1,Medium
Work,Review code,87,1,No Deadline,4,0,4,3,1,0,Low
Health,Take vitamins,68,1,Tomorrow,4,1,2,2,3,1,Low
Study,Revise notes,159,4,No Deadline,3,1,4,4,3,1,Low
Health,Meditate,110,3,Next Week,1,0,3,2,1,1,Low
Health,Cook healthy meal,103,3,No Deadline,4,0,2,5,1,0,Low
Work,Attend meeting,46,5,Today,5,1,3,2,3,1,High
Work,Attend meeting,157,2,No Deadline,4,0,5,2,1,0,Low
Study,Submit assignment,53,5,Overdue,1,1,2,3,5,0,Medium
Work,Send report,134,2,This Week,3,0,4,1,1,1,Low
Errand,Car service,159,3,No Deadline,3,1,3,1,3,1,Low
Study,Read chapter,148,4,Overdue,3,0,5,2,4,1,Medium
Study,Submit assignment,11,1,Today,4,1,4,2,2,0,Low
Health,Meditate,85,2,Today,3,1,2,5,3,1,Low
Errand,Visit bank,169,5,Today,4,1,5,2,4,1,Medium
Personal,Organize photos,30,2,No Deadline,4,0,5,3,2,0,Low
Health,Meditate,119,4,No Deadline,1,0,2,5,3,1,Low
Study,Submit assignment,112,2,Overdue,2,0,2,3,2,0,Low
Personal,Call mom,168,5,Tomorrow,4,0,3,3,4,1,Medium
Errand,Buy groceries,37,5,This Week,1,0,2,2,5,0,Medium
Work,Review code,46,2,Next Week,3,0,2,3,4,1,Low
Work,Write proposal,107,2,Today,4,1,2,4,3,0,Low
Work,Review code,52,4,Today,4,0,5,2,4,0,Medium
Errand,Car service,99,5,This Week,4,0,3,1,2,1,Medium
Work,Write proposal,75,1,No Deadline,5,0,3,3,3,1,Low
Errand,Pick up parcel,77,2,Overdue,5,0,1,4,2,0,Medium
Health,Meditate,23,1,Tomorrow,1,0,4,5,5,0,Low
Study,Read chapter,9,3,No Deadline,1,1,5,5,2,0,Low
Personal,Clean room,85,2,This Week,1,1,4,3,5,0,Low
Personal,Call mom,5,5,This Week,3,1,1,5,4,1,Medium
Errand,Pick up parcel,69,1,Today,5,0,5,5,3,0,Low
Study,Revise notes,133,5,No Deadline,4,1,2,5,2,0,Low
Study,Practice math,88,2,Today,2,0,1,1,3,1,Low
Work,Send report,100,4,Today,3,1,3,5,1,0,Medium
Study,Submit assignment,10,1,No Deadline,3,0,4,4,2,0,Low
Personal,Call mom,165,1,Next Week,5,0,2,4,3,1,Low
Health,Cook healthy meal,179,1,Overdue,3,0,1,4,4,1,Low
Personal,Clean room,117,4,Next Week,5,1,1,4,3,1,Medium
Work,Write proposal,55,4,Tomorrow,1,0,3,4,5,0,Low
Errand,Book tickets,90,5,Next Week,3,0,1,1,5,1,Medium
Errand,Pick up parcel,87,4,No Deadline,2,0,1,3,2,1,Low
Study,Submit assignment,111,1,Tomorrow,2,1,5,3,5,0,Low
Personal,Clean room,174,3,No Deadline,5,1,3,3,5,1,Low
Study,Watch lecture,102,3,Overdue,2,0,1,1,5,1,Medium
Errand,Pick up parcel,141,5,Next Week,5,1,2,4,5,1,Medium
Work,Fix bug,36,5,Overdue,2,0,1,2,2,0,Medium
Errand,Visit bank,5,4,Today,2,1,4,3,2,0,Medium
Work,Review code,124,4,This Week,3,0,2,3,3,1,Medium
Study,Practice math,177,3,This Week,4,1,2,4,2,1,Medium
Work,Attend meeting,107,2,This Week,4,0,3,1,3,1,Low
Personal,Call mom,100,3,Overdue,5,1,5,1,1,1,Medium
Errand,Visit bank,124,1,No Deadline,2,0,3,3,1,1,Low
Personal,Clean room,16,2,Today,1,1,2,1,3,1,Low
Work,Write proposal,66,3,This Week,1,0,4,4,2,0,Low
Work,Write proposal,159,3,Tomorrow,3,1,3,1,5,1,Medium
Errand,Book tickets,73,4,This Week,2,0,5,2,4,0,Low
Personal,Organize photos,140,1,Overdue,3,0,1,3,5,1,Low
Health,Sleep early,122,5,Overdue,4,0,2,2,3,1,High
Errand,Visit bank,112,2,This Week,3,0,4,1,1,1,Low
Errand,Car service,141,1,No Deadline,4,0,1,1,2,1,Low
